id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
76,32,JAWA BARAT,CIWULAN-CILAKI,CIMERAK,APRIL,55.0,MILIMETER,2015
77,32,JAWA BARAT,CIWULAN-CILAKI,CIMERAK,MEI,200.0,MILIMETER,2015
78,32,JAWA BARAT,CIWULAN-CILAKI,CIMERAK,JUNI,264.0,MILIMETER,2015
79,32,JAWA BARAT,CIWULAN-CILAKI,CIMERAK,JULI,13.0,MILIMETER,2015
80,32,JAWA BARAT,CIWULAN-CILAKI,CIMERAK,AGUSTUS,10.0,MILIMETER,2015
81,32,JAWA BARAT,CIWULAN-CILAKI,CIMERAK,SEPTEMBER,0.0,MILIMETER,2015
82,32,JAWA BARAT,CIWULAN-CILAKI,CIMERAK,OKTOBER,5.0,MILIMETER,2015
83,32,JAWA BARAT,CIWULAN-CILAKI,CIMERAK,NOVEMBER,209.0,MILIMETER,2015
84,32,JAWA BARAT,CIWULAN-CILAKI,CIMERAK,DESEMBER,298.0,MILIMETER,2015
85,32,JAWA BARAT,CIWULAN-CILAKI,CISOLOK,JANUARI,584.0,MILIMETER,2015
86,32,JAWA BARAT,CIWULAN-CILAKI,CISOLOK,FEBRUARI,435.0,MILIMETER,2015
87,32,JAWA BARAT,CIWULAN-CILAKI,CISOLOK,MARET,519.0,MILIMETER,2015
88,32,JAWA BARAT,CIWULAN-CILAKI,CISOLOK,APRIL,222.0,MILIMETER,2015
89,32,JAWA BARAT,CIWULAN-CILAKI,CISOLOK,MEI,293.0,MILIMETER,2015
90,32,JAWA BARAT,CIWULAN-CILAKI,CISOLOK,JUNI,98.0,MILIMETER,2015
91,32,JAWA BARAT,CIWULAN-CILAKI,CISOLOK,JULI,32.0,MILIMETER,2015
92,32,JAWA BARAT,CIWULAN-CILAKI,CISOLOK,AGUSTUS,25.0,MILIMETER,2015
93,32,JAWA BARAT,CIWULAN-CILAKI,CISOLOK,SEPTEMBER,0.0,MILIMETER,2015
94,32,JAWA BARAT,CIWULAN-CILAKI,CISOLOK,OKTOBER,0.0,MILIMETER,2015
95,32,JAWA BARAT,CIWULAN-CILAKI,CISOLOK,NOVEMBER,723.0,MILIMETER,2015
96,32,JAWA BARAT,CIWULAN-CILAKI,CISOLOK,DESEMBER,691.9,MILIMETER,2015
97,32,JAWA BARAT,CIWULAN-CILAKI,GUNUNG SATRIA,JANUARI,490.0,MILIMETER,2015
98,32,JAWA BARAT,CIWULAN-CILAKI,GUNUNG SATRIA,FEBRUARI,492.0,MILIMETER,2015
99,32,JAWA BARAT,CIWULAN-CILAKI,GUNUNG SATRIA,MARET,481.0,MILIMETER,2015
100,32,JAWA BARAT,CIWULAN-CILAKI,GUNUNG SATRIA,APRIL,409.0,MILIMETER,2015
101,32,JAWA BARAT,CIWULAN-CILAKI,GUNUNG SATRIA,MEI,219.0,MILIMETER,2015
102,32,JAWA BARAT,CIWULAN-CILAKI,GUNUNG SATRIA,JUNI,194.0,MILIMETER,2015
103,32,JAWA BARAT,CIWULAN-CILAKI,GUNUNG SATRIA,JULI,36.0,MILIMETER,2015
104,32,JAWA BARAT,CIWULAN-CILAKI,GUNUNG SATRIA,AGUSTUS,7.0,MILIMETER,2015
105,32,JAWA BARAT,CIWULAN-CILAKI,GUNUNG SATRIA,SEPTEMBER,3.0,MILIMETER,2015
106,32,JAWA BARAT,CIWULAN-CILAKI,GUNUNG SATRIA,OKTOBER,0.0,MILIMETER,2015
107,32,JAWA BARAT,CIWULAN-CILAKI,GUNUNG SATRIA,NOVEMBER,723.0,MILIMETER,2015
108,32,JAWA BARAT,CIWULAN-CILAKI,GUNUNG SATRIA,DESEMBER,280.0,MILIMETER,2015
109,32,JAWA BARAT,CIWULAN-CILAKI,KARANGNUNGGAL,JANUARI,113.0,MILIMETER,2015
110,32,JAWA BARAT,CIWULAN-CILAKI,KARANGNUNGGAL,FEBRUARI,120.0,MILIMETER,2015
111,32,JAWA BARAT,CIWULAN-CILAKI,KARANGNUNGGAL,MARET,231.0,MILIMETER,2015
112,32,JAWA BARAT,CIWULAN-CILAKI,KARANGNUNGGAL,APRIL,106.0,MILIMETER,2015
113,32,JAWA BARAT,CIWULAN-CILAKI,KARANGNUNGGAL,MEI,23.0,MILIMETER,2015
114,32,JAWA BARAT,CIWULAN-CILAKI,KARANGNUNGGAL,JUNI,134.0,MILIMETER,2015
115,32,JAWA BARAT,CIWULAN-CILAKI,KARANGNUNGGAL,JULI,5.0,MILIMETER,2015
116,32,JAWA BARAT,CIWULAN-CILAKI,KARANGNUNGGAL,AGUSTUS,18.0,MILIMETER,2015
117,32,JAWA BARAT,CIWULAN-CILAKI,KARANGNUNGGAL,SEPTEMBER,0.0,MILIMETER,2015
118,32,JAWA BARAT,CIWULAN-CILAKI,KARANGNUNGGAL,OKTOBER,0.0,MILIMETER,2015
119,32,JAWA BARAT,CIWULAN-CILAKI,KARANGNUNGGAL,NOVEMBER,376.0,MILIMETER,2015
120,32,JAWA BARAT,CIWULAN-CILAKI,KARANGNUNGGAL,DESEMBER,300.5,MILIMETER,2015
121,32,JAWA BARAT,CIWULAN-CILAKI,KARET PADAWARAS,JANUARI,143.0,MILIMETER,2015
122,32,JAWA BARAT,CIWULAN-CILAKI,KARET PADAWARAS,FEBRUARI,155.0,MILIMETER,2015
123,32,JAWA BARAT,CIWULAN-CILAKI,KARET PADAWARAS,MARET,288.0,MILIMETER,2015
124,32,JAWA BARAT,CIWULAN-CILAKI,KARET PADAWARAS,APRIL,70.0,MILIMETER,2015
125,32,JAWA BARAT,CIWULAN-CILAKI,KARET PADAWARAS,MEI,0.0,MILIMETER,2015
126,32,JAWA BARAT,CIWULAN-CILAKI,KARET PADAWARAS,JUNI,0.0,MILIMETER,2015
127,32,JAWA BARAT,CIWULAN-CILAKI,KARET PADAWARAS,JULI,0.0,MILIMETER,2015
128,32,JAWA BARAT,CIWULAN-CILAKI,KARET PADAWARAS,AGUSTUS,6.0,MILIMETER,2015
129,32,JAWA BARAT,CIWULAN-CILAKI,KARET PADAWARAS,SEPTEMBER,0.0,MILIMETER,2015
130,32,JAWA BARAT,CIWULAN-CILAKI,KARET PADAWARAS,OKTOBER,0.0,MILIMETER,2015
131,32,JAWA BARAT,CIWULAN-CILAKI,KARET PADAWARAS,NOVEMBER,255.0,MILIMETER,2015
132,32,JAWA BARAT,CIWULAN-CILAKI,KARET PADAWARAS,DESEMBER,138.0,MILIMETER,2015
133,32,JAWA BARAT,CIWULAN-CILAKI,KAWALU,JANUARI,23.0,MILIMETER,2015
134,32,JAWA BARAT,CIWULAN-CILAKI,KAWALU,FEBRUARI,429.0,MILIMETER,2015
135,32,JAWA BARAT,CIWULAN-CILAKI,KAWALU,MARET,320.0,MILIMETER,2015
136,32,JAWA BARAT,CIWULAN-CILAKI,KAWALU,APRIL,253.0,MILIMETER,2015
137,32,JAWA BARAT,CIWULAN-CILAKI,KAWALU,MEI,74.0,MILIMETER,2015
138,32,JAWA BARAT,CIWULAN-CILAKI,KAWALU,JUNI,46.0,MILIMETER,2015
139,32,JAWA BARAT,CIWULAN-CILAKI,KAWALU,JULI,5.0,MILIMETER,2015
140,32,JAWA BARAT,CIWULAN-CILAKI,KAWALU,AGUSTUS,0.0,MILIMETER,2015
141,32,JAWA BARAT,CIWULAN-CILAKI,KAWALU,SEPTEMBER,0.0,MILIMETER,2015
142,32,JAWA BARAT,CIWULAN-CILAKI,KAWALU,OKTOBER,0.0,MILIMETER,2015
143,32,JAWA BARAT,CIWULAN-CILAKI,KAWALU,NOVEMBER,302.0,MILIMETER,2015
144,32,JAWA BARAT,CIWULAN-CILAKI,KAWALU,DESEMBER,223.0,MILIMETER,2015
145,32,JAWA BARAT,CIWULAN-CILAKI,MIRAMARE,JANUARI,214.0,MILIMETER,2015
146,32,JAWA BARAT,CIWULAN-CILAKI,MIRAMARE,FEBRUARI,358.0,MILIMETER,2015
147,32,JAWA BARAT,CIWULAN-CILAKI,MIRAMARE,MARET,169.0,MILIMETER,2015
148,32,JAWA BARAT,CIWULAN-CILAKI,MIRAMARE,APRIL,202.0,MILIMETER,2015
149,32,JAWA BARAT,CIWULAN-CILAKI,MIRAMARE,MEI,221.0,MILIMETER,2015
150,32,JAWA BARAT,CIWULAN-CILAKI,MIRAMARE,JUNI,221.0,MILIMETER,2015
151,32,JAWA BARAT,CIWULAN-CILAKI,MIRAMARE,JULI,66.0,MILIMETER,2015
152,32,JAWA BARAT,CIWULAN-CILAKI,MIRAMARE,AGUSTUS,27.0,MILIMETER,2015
153,32,JAWA BARAT,CIWULAN-CILAKI,MIRAMARE,SEPTEMBER,0.0,MILIMETER,2015
154,32,JAWA BARAT,CIWULAN-CILAKI,MIRAMARE,OKTOBER,0.0,MILIMETER,2015
155,32,JAWA BARAT,CIWULAN-CILAKI,MIRAMARE,NOVEMBER,429.0,MILIMETER,2015
156,32,JAWA BARAT,CIWULAN-CILAKI,MIRAMARE,DESEMBER,290.0,MILIMETER,2015
157,32,JAWA BARAT,CIWULAN-CILAKI,PADAWARAS,JANUARI,123.0,MILIMETER,2015
158,32,JAWA BARAT,CIWULAN-CILAKI,PADAWARAS,FEBRUARI,133.0,MILIMETER,2015
159,32,JAWA BARAT,CIWULAN-CILAKI,PADAWARAS,MARET,198.0,MILIMETER,2015
160,32,JAWA BARAT,CIWULAN-CILAKI,PADAWARAS,APRIL,126.0,MILIMETER,2015
161,32,JAWA BARAT,CIWULAN-CILAKI,PADAWARAS,MEI,41.0,MILIMETER,2015
162,32,JAWA BARAT,CIWULAN-CILAKI,PADAWARAS,JUNI,156.0,MILIMETER,2015
163,32,JAWA BARAT,CIWULAN-CILAKI,PADAWARAS,JULI,17.0,MILIMETER,2015
164,32,JAWA BARAT,CIWULAN-CILAKI,PADAWARAS,AGUSTUS,19.0,MILIMETER,2015
165,32,JAWA BARAT,CIWULAN-CILAKI,PADAWARAS,SEPTEMBER,3.0,MILIMETER,2015
166,32,JAWA BARAT,CIWULAN-CILAKI,PADAWARAS,OKTOBER,0.0,MILIMETER,2015
167,32,JAWA BARAT,CIWULAN-CILAKI,PADAWARAS,NOVEMBER,369.0,MILIMETER,2015
168,32,JAWA BARAT,CIWULAN-CILAKI,PADAWARAS,DESEMBER,181.0,MILIMETER,2015
169,32,JAWA BARAT,CIWULAN-CILAKI,PAKENJENG,JANUARI,333.0,MILIMETER,2015
170,32,JAWA BARAT,CIWULAN-CILAKI,PAKENJENG,FEBRUARI,296.0,MILIMETER,2015
171,32,JAWA BARAT,CIWULAN-CILAKI,PAKENJENG,MARET,460.0,MILIMETER,2015
172,32,JAWA BARAT,CIWULAN-CILAKI,PAKENJENG,APRIL,268.0,MILIMETER,2015
173,32,JAWA BARAT,CIWULAN-CILAKI,PAKENJENG,MEI,138.0,MILIMETER,2015
174,32,JAWA BARAT,CIWULAN-CILAKI,PAKENJENG,JUNI,33.0,MILIMETER,2015
175,32,JAWA BARAT,CIWULAN-CILAKI,PAKENJENG,JULI,12.0,MILIMETER,2015
176,32,JAWA BARAT,CIWULAN-CILAKI,PAKENJENG,AGUSTUS,0.0,MILIMETER,2015
177,32,JAWA BARAT,CIWULAN-CILAKI,PAKENJENG,SEPTEMBER,0.0,MILIMETER,2015
178,32,JAWA BARAT,CIWULAN-CILAKI,PAKENJENG,OKTOBER,4.0,MILIMETER,2015
179,32,JAWA BARAT,CIWULAN-CILAKI,PAKENJENG,NOVEMBER,611.0,MILIMETER,2015
180,32,JAWA BARAT,CIWULAN-CILAKI,PAKENJENG,DESEMBER,597.0,MILIMETER,2015
181,32,JAWA BARAT,CIWULAN-CILAKI,PAMEUNGPEK,JANUARI,305.0,MILIMETER,2015
182,32,JAWA BARAT,CIWULAN-CILAKI,PAMEUNGPEK,FEBRUARI,505.0,MILIMETER,2015
